Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload
21271,Play,Warszawa,2019-04-26T10:04:41.351691,0.6075356270251393,78.587,9040777.652118566,3553352.0911960835
4166,Orange Polska S.A.,Warsaw,2019-04-26T18:06:55.246683,2.051125829084017,76.333,11059336.698034827,3130983.955837504
5134,NETIA S.A.,Warsaw,2019-04-26T19:01:00.519633,2.157933322624984,43.017,12791522.325405747,3711332.0597000015
4166,Orange Polska S.A.,Warsaw,2019-04-26T20:01:42.923403,2.0495705878425583,36.32,11880595.012929881,418204.3105198053
5134,NETIA S.A.,Warsaw,2019-04-26T21:02:01.341642,2.0495705878425583,43.812,0.0,77667.37296869651
Cannot retrieve speedtest configuration
5134,NETIA S.A.,Warsaw,2019-04-26T23:03:11.809146,1.7976813490377563,37.57,13046592.622935524,3700578.73191772
Cannot retrieve speedtest configuration
Cannot retrieve speedtest configuration
Cannot retrieve speedtest configuration
Cannot retrieve speedtest configuration
Cannot retrieve speedtest configuration
Cannot retrieve speedtest configuration
5134,NETIA S.A.,Warsaw,2019-04-27T07:03:21.035070,2.0495705878425583,41.421,10861167.978696296,3744433.225068877
Cannot retrieve speedtest configuration
5134,NETIA S.A.,Warsaw,2019-04-27T09:03:06.475190,2.0495705878425583,34.743,11490175.18349447,3696887.7553395634
5134,NETIA S.A.,Warsaw,2019-04-27T10:03:06.388995,1.7976813490377563,83.043,7971627.710404023,2745353.2675407846
5134,NETIA S.A.,Warsaw,2019-04-27T11:03:12.248278,2.0495705878425583,48.853,10593872.606215851,3744449.8822147558
5134,NETIA S.A.,Warsaw,2019-04-27T12:03:03.694602,1.7976813490377563,38.562,8207055.48312878,3713539.1275673327
5134,NETIA S.A.,Warsaw,2019-04-27T13:03:04.295016,1.7976813490377563,46.068,9966227.3813819,3733059.2201642822
5134,NETIA S.A.,Warsaw,2019-04-27T14:03:04.459546,2.051125829084017,51.875,9521816.382830862,2815352.2731071096
5134,NETIA S.A.,Warsaw,2019-04-27T15:03:02.609755,2.0495705878425583,55.518,6651198.947470191,3729907.049166936
5134,NETIA S.A.,Warsaw,2019-04-27T16:02:44.676710,2.051125829084017,53.076,8395926.357959185,3734330.7443880397
21271,Play,Warszawa,2019-04-27T17:02:49.388446,1.9582021294304137,64.251,10050157.039972039,3701371.3432467403
5134,NETIA S.A.,Warsaw,2019-04-27T17:46:44.965340,2.051125829084017,57.585,10868344.367817372,3755904.429754629
21271,Play,Warszawa,2019-04-27T17:51:44.587710,1.9582021294304137,55.128,9339982.531267243,3691804.543934814
5134,NETIA S.A.,Warsaw,2019-04-27T17:54:51.564991,2.051125829084017,61.372,10757635.75277393,3680970.5365436976
5134,NETIA S.A.,Warsaw,2019-04-27T18:02:08.008003,2.051125829084017,58.098,5418734.972285063,3422993.6580400695
5134,NETIA S.A.,Warsaw,2019-04-27T19:02:07.510827,2.0495705878425583,71.392,2442053.2977060853,2836731.850993236
5134,NETIA S.A.,Warsaw,2019-04-27T19:15:57.076738,2.0495705878425583,68.047,3907793.967712847,2792335.22729749
5134,NETIA S.A.,Warsaw,2019-04-27T19:19:11.832134,2.0495705878425583,53.692,5697073.3077785615,3815581.902011248
5134,NETIA S.A.,Warsaw,2019-04-27T20:02:09.655848,2.0495705878425583,60.811,5266663.432230044,2843188.1844441504
5134,NETIA S.A.,Warsaw,2019-04-27T21:02:11.227220,2.051125829084017,66.393,11992970.79508242,3456686.206027755
5134,NETIA S.A.,Warsaw,2019-04-27T22:01:58.170682,2.0495705878425583,64.843,10953257.002281489,3722620.091722933
338,Skynet DC,Warsaw,2019-04-27T23:02:03.570947,2.051125829084017,86.525,11521501.69179838,3669203.2284759195
5134,NETIA S.A.,Warsaw,2019-04-28T00:01:58.323586,2.051125829084017,62.339,11944784.942732004,3757396.0999400183
5134,NETIA S.A.,Warsaw,2019-04-28T01:02:06.219197,2.051125829084017,60.014,12294932.182306092,4082765.4643348185
5134,NETIA S.A.,Warsaw,2019-04-28T02:02:04.649870,2.051125829084017,66.55,11214653.941635923,3605919.2622095007
5134,NETIA S.A.,Warsaw,2019-04-28T03:02:05.546562,2.051125829084017,62.812,8217913.294311418,3546936.8130269293
5134,NETIA S.A.,Warsaw,2019-04-28T04:02:08.688338,2.0495705878425583,65.441,8945295.065055314,3627107.451863348
5134,NETIA S.A.,Warsaw,2019-04-28T05:02:02.843603,2.0495705878425583,61.787,12095029.569357067,3908905.0867391354
5134,NETIA S.A.,Warsaw,2019-04-28T06:02:13.423576,2.051125829084017,56.396,12242567.279242035,3766405.2800230198
5134,NETIA S.A.,Warsaw,2019-04-28T07:02:03.800372,2.0495705878425583,56.368,11728999.398953509,3226277.5185552095
5134,NETIA S.A.,Warsaw,2019-04-28T08:02:01.293637,2.0495705878425583,66.497,8141287.629870287,3729571.7727352064
5134,NETIA S.A.,Warsaw,2019-04-28T09:02:09.864660,2.8024148240385895,59.714,8424461.451110415,3734986.576295328
5134,NETIA S.A.,Warsaw,2019-04-28T10:02:11.889676,4.639442724429602,57.993,9247895.66063745,2894252.5772836176
338,Skynet DC,Warsaw,2019-04-28T11:02:27.895784,2.0495705878425583,80.833,11444055.492037315,3713721.7049762607
5134,NETIA S.A.,Warsaw,2019-04-28T12:02:07.255324,2.051125829084017,83.089,10262216.023551706,335354.2954511652
5134,NETIA S.A.,Warsaw,2019-04-28T13:02:09.195077,2.051125829084017,64.688,10391758.08980297,3687141.685057679
5134,NETIA S.A.,Warsaw,2019-04-28T14:02:04.211565,2.0495705878425583,62.255,8369810.300536459,3428895.043711712
